Name,Meaning
Àrẹ̀mú,One that needs to be petted into action.
Akínpẹ̀lúmi,Valor is with me.
Adébùkọ́lá,Royalty is added to affluence.
Akínbọ́dúnwá,Valor came with the year (or with festivities).
Awójùlúgbé,The herbalist will not let the town suffer in vain.
Akínrìnọ́lá,Valor walks into wealth.
Adétọ̀nà,The crown is proper (or properly acquired/administered).
Àmọ́dù,Yorùbá's version of Mohammed.
Adébágbo,"1. The crown meets the crowd.
2. We arrived to meet the crowd."
Àgbòméjì,Two rams.
Adégbọ̀nmírè,Royalty has not ignored me.
Adégbùlúgbé,The crown hasn't forgotten the town.
Adéjuyìgbé,Royalty has prevented honour from being wasted/destroyed.
Adéjùgbé,[unknown]
Awósunlé,The herbalist/oracle sleeps at home.
Awóbàjò,The herbalist returned from the trip.
Akínfẹ́,Valor loves.
Abìjà,The fighter.
Àgbéníyì,Ifá is prestigious.
Àyanṣínà,The drummer cleared the path.
Atìtẹ́bí,Born on a throne.
Arífálò,One that sees Ifá to use.
Adébọ́nọ̀jọ,The crown matches art.
Awólúsì,The oracle has fame.
Adémorótì,The crown is who I'm standing with.
Àánúolúwapọ̀,The mercies of God are abundant.
Àkànjí,One who lives deliberately.
Adéjọkẹ́,"1. The crown takes care of this, together.
2. One who has come to be pampered."
Akínlémibọ́lá,Valor chased me into wealth.
Adébúmitì,The crown is incapable of insulting me.
Akíọdé,[meaning unknown]
Adéolúwajùwọ́n,The crown of the lord is greater.
Aláká,The owner of the barn.
Adébọ́lá,"1. Crown meets wealth.
2. We returned to meet wealth.
3. Royalty gave birth to wealth."
Adébọ̀wálé,The crown returned home. 
Àyọ̀ká,The one worth rejoicing around.
Adégoríọlá,The crown climbed onto wealth.
Ayọ̀fisan,Joy used this to pay.
Agbóluajé,One carrying the prominent spirit of business.
Àlùfá,Priest.
Adéfikáyọ̀,The crown has added to joy.
Adélọ́pọ̀,The crown has abundance.
Àkànmú,The personally chosen.
Adébọ́rọ̀,"1. The crown meets wealth.
2. We arrived to meets wealth."
Adéwọnúọlá,The crown enters into wealth
Akíntáyọ̀,Valor equates joy.
Adétómi,The crown is enough for me.
Adédìran,The crown becomes generational.
Adérìnkọlá,The crown walks into wealth.
Adérìnbọ́lá,The crown walks to meet wealth.
Adérìnlọ́lá,The crown walks to have wealth/success.
Arámìdé,"1. My company, kin, or relative, has come. (Arámìdé)
2. My wonder has come (Àràmídé)"
Adédọjà,The crown becomes valuable.
Adéjùyítán,The crown is more than this.
Adétọ̀míwá,The crown has come to me. 
Adéṣùbọ̀kan,The crown is not in one place alone.
Adébarí,The crown touches the head.
Adéjìmí,Crown bequeath to me.
Akíntọ́lá,Valor measures up to wealth.
Akínfọ̀sílẹ̀,[unknown]
Adéolúwa,The crown of the lord.
Ayéòríbẹ̀,The world isn't like that. [verification needed]
Adélaní,The crown is what we have.
Adéwúyà,[unknown]
Adékanlá,Royalty touched success.
Adétóre,The crown is worth goodness.
Akínfọlájù,"Valor, because of wealth, is greater."
Ayílárá,One surrounded by relatives.
Adékànmbí,"1. Royalty chose me to give birth to.
2. It's my turn to birth the crown."
Ajíkọbi,One who wakes up to reject evil. [verification needed]
Àyọ̀ní,One happy to have.
Adémidayọ̀,My crown has become joy.
Adémilọ́lá,We crowned me with wealth.
Abátàn,We met the story.
Ajínọwọ́ọolá,One who wakes up to stretch the hand of wealth.
Agúnrégé,One well set.
Adébọ̀ọ́lá,"1. We returned into wealth.
2. The crown enters into wealth."
Ayìnkẹ́,One meant to praise and pet.
Aṣiyanbí,One specially chosen from birth.
Ashiyanbí,"Another way of writing ""Aṣiyanbí"". [meaning unknown]"
Adébọ̀sọ́lá,"1. The crown return into wealth.
2. We returned into wealth."
Akíndójú,Valor does not disappoint me.
Amọ̀ṣe,One who knows how to do it. The capable one.
Ajigba,[Meaning unknown]
Abẹṣin,The horse owner.
Adébùsọ́lá,The crown added to wealth.
Aróniyọ̀,We've seen the salt seller. [verification needed]
Arómáshọdú,The dye makes the cloth black.
Adénígbo,The crown has people.
Adéfuwà,[meaning unknown]
Afùwàpẹ́,One whose character endures for a long time. 
Ayọ̀tọ̀míwá,Joy traced its way back to me.
Akínfọlárìn,Valor walks with wealth.
Adégboyè,"1. The crown receives honour.
2. We arrived to receive honour."
Adéyanjú,The crown is complete.
Àyanlẹ́yẹ,The drummer has honour.
Akínfẹ́miwá,Valor loved me enough to seek me out.
Adélérí,The crown has a head.
Agongoloju,[Meaning unknown]
Amúlùdún,The entertainer.
Àkọsílẹ̀,The written text. A prophesy.
Adébàjò,The crown returns from a trip.
Adéṣidà,The crown hasn't broken taboos.
Adésẹ̀wọ́,[unknown]
Adésọ̀ràntì,The crown did not fail to resolve a conflict
Akinlolúwa,God is a mighty warrior.
Akinlolú,The prominent child is valorous.
Akínigáún,One who greets others briskly.
Adúmáradán,One with a dark and shiny skin. One who shines through his/her dark complexion.
Amúnígun,One with sharp edges.
Adélẹ́rù,The crown has a burden.
Adéfọlámí,The crown breathes with wealth.
Adú,The dark-complexioned one.
Akínjídé,The valiant one arrived early.
Adéfolúrẹ̀,The crown consoles itself with the lord.
Adéfolúwẹ̀,The crown bathes with prominence.
Ajíbódù,One who wakes up to meet the Odù (Ifá)
Ajóníbàdí,One with burnt buttocks.
Alómájá,One who twists (something) but never snaps (it).
Abímifólúwa,I was born for the lord
Adékóyèjọ,The crown gathered honour together.
àgbálájọbí,One jointly born by the whole world.
Ajeigbé,Resourcefulness is never forgotten.
Akinkiawe,[meaning unknown]
Arógbọfà,One strong enough to wait to receive arrows.
Àmókèọjà,"One who earns the best of everything. 
[rough translation. See extra information below]"
Adésìḿbọ̀,The crown accompanied me home.
Adésìmíbọ̀,The crown accompanied me back.
Akínṣìlọ,The valiant ones left still.
Àjùlọolúwa,The supremacy of the lord.
Akínnífẹ̀sí,(What) valor loves.
Adéfẹ̀sọ̀,The crown exercises patience.
Aiyédùn,Life is sweet.
Ayédùn,Life is sweet.
Adédoṣù,The crown has come of age.
Adáralẹ́gbẹ́,One who is beautiful among company.
Akínlámì,The child is specially marked.
Àyànlàdé,The drummer returned successful.
Adépéjú,The (faces of) royalty is complete.
Ajékìígbé,Business will never perish.
Ajékìgbé,Business does not perish.
Ajéègbé,Resourcefulness does not perish.
Akínkúmi,"Valor (or ""the valiant one"") is added to me."
Akínṣẹ̀mólú,Valor just triumphed.
Awóreni,The priesthood loves me.
Akínnúrun,[meaning unknown]
Atimọmọ,We have known (this) child.
Arẹwà,The beautiful one.
Ayọ̀kù,Joy remains.
Ajífẹrúkẹ́,One who is woken up to the care of slaves.
Adébóyèjọ,"1. The crown is at one with honour.
2. We arrived to be at one with honour."
Arówóṣafẹ́,One with enough money to make fashion.
Akínnawọ́,"Valor stretches its hands.
[verification needed]"
Adéfarakàn,Touched by royalty.
Adáramọ́lá,One who is beautiful with wealth.
Alògbà,One currently enjoying fame.
Adéfisóyè,The crown adds to (our) honour.
Adéọ̀ṣọ́,The king of adornment.
Akíngbádéga,Valor lifted the crown up.
Akínfadéyan,Valor struts with the crown.
Akínniranye,[meaning and appropriate tone-marks unknown]
Àjàláyé,"The loft of the earth.
[verification needed]"
Ajígbọ́tọ̀shọ́,One who wakes up to pay attention to beauty.
Aríléwọlá,We have found a house in which to nurture wealth.
Adébánwí,The crown scolded me.
Adétilóyè,The crown is honoured.
Aníyelóyè,Somebody who is valuable/precious on the throne.
Ayínnúọlá,One who rolls in wealth.
Àyámọlówó,One who lends people money.
Akínyọ̀sóyè,Valor rejoices in honour.
Adáralẹ́wà,A prominently beautiful/handsome person.
Apọ́nlẹ́sẹ̀,Somebody with fair-complexioned legs. 
Aríbisìn,We've found a place to worship/serve.
Adésékò,He whose coming is timely.
Adésúgbà,He whose coming is timely.
Adáramóyè,One who perfectly fits (with) chieftaincy.
Arówóbùsóyè,One with (enough) money to add to honour.
Afé,Fashion. Fashionable
Arówójolú,One with enough money to become prominent.
Akínṣelóyin,Valor is part of sweetness.
Atúnniṣe,One who mends another.
Alákísà,One who wears/sells rags. [verification needed].
Àkànkẹ́,One specially cherished.
Alóyinlóhùn,One with honey in his voice.
Akínmádé,The hero/warrior takes the crown.
Adéfọláwẹ̀,The crown bathes with nobility.
Ajígbọ́tọ̀ṣọ́,One who wakes up to pay attention to adornment.
Àwẹ̀ró,One bathed and covered in wrappers.
Apánpá,One who is cautious.
Awólàjà,The oracle settled the rift.
Ajíjọlá,One who wakes up to enjoy wealth.
Arubuolawe,[Meaning unknown]
Ajọ̀màle,One resembling a Muslim (in appearance).
Àjẹpẹ́,Something eaten long-term
Arókoyú,[Meaning unknown]
Agírí,One who goes about his business in haste.
Arúbúọlá,[Meaning unknown]
Aruleiba,[Meaning unknown]
Awólẹ́yẹ̀,The oracle has value.
Apàgùtàn,The slaughterer of sheep.
Abínná,I've been born already.
Adákẹ́jà,He who fights in silence/silently.
Afẹ́nifọ́rọ̀,He who wishes one well.
Akinniyì,Bravery is honour/prestige/respect etc.
Akínlọtán,The champion/brave/champion has already gone.
Akintìkù,The brave/warrior/champion still exists.
Abíminá,We have given birth to me already.
Akinluyì,Bravery is honour/prestige/respect etc.
Afikúyọ̀mí,I was scorned because of deaths.
Akínnùóyè,Valor got lost in honour.
Akínmọ̀rìn,Valor walks well.
Akíntọ̀rin,[Meaning unknown]
Adéọ̀shun,The crown of Ọ̀sun.
Ajétúnmọbí,Entrepreneurship gave birth to the child again.
Awójìnà,The world is distant.
Ayọbándé,Joy came with me.
Ayọ̀wùmí,Joy attracts me.
Àsẹ̀hìndè,One born for replacement.
Adésùnlóyè,The crown rests on honour.
Akínyẹ̀lúrẹ̀,Valor befits its town.
Akinyẹ̀lú,Valor is worthy of the town.
Arẹ́gbẹ́shọlá,One made affluent by the wealth of his peers.
Akintẹ̀lú,Valor established the town.
Arẹ́gbẹ́ṣọlá,One who finds wealth in company.
Akíntẹ̀lúrẹ̀,Valor established its town.
Alẹ́shinlọ́yẹ́,One with a horse in Harmattan. 
Adékúoróyè,The crown is commended for his/her suffering to attain the honour.
Àgbésanwá,The Àgbé divinity benefits us.
Ajísegírí,One who has a quick attitude to work.
Ajíṣefíní,He who appears clean always.
Ajíṣebútú,One who wakes up to do great things.
Adégbẹ̀san,The crown revenges.
Abílàwọ́n,One given birth to in the middle of the rest.
Ajiṣefínní,One who is always clean.
Ayọ̀wálé,Joy has come home.
Aiyéyẹmí,Life befits me.
Akínṣemóyin,Bravery is created with sweetness.
Aládéyẹ̀lú,The king befits the town.
Akíngbàlà,One saved by valor/heroism.
Aníṣulówó,One with wealth in yam farming.
Ayòrindé,Joy walks in.
Ayìnbọ́,We praise and worship.
Atilọ́lá,"1. We now have wealth.
2. We have had wealth."
Akínrímisí,Valor saw me again.
Arárọ̀mí,I am relieved.
Adépìtàn,The crown tells a story.
Adégborúwà,[Meaning unknown]
Afifólúwa,Given to the lord.
Ayìnkẹ́adé,A cognomen
Àrínọlá,(Born) in the midst of wealth.
Àṣàkẹ́,"Selected, picked to be pampered or cherished."
Awósẹmo,[Meaning unknown]
Àjàtóntìrìàjàbalẹ̀,The roof that pushes/crushes other roofs (down).
Adérìnwálé,Royalty returns home.
Adéyọyin,The crown manifests sweetness.
Adénihún,Crown asked me to celebrate.
Ayọ̀olúwa,The joy of the lord
Ayọ̀olúwayímiká,The joy of the lord surrounds me.
Ayọ̀bọ̀bọ́lá,Joy has come to meet with wealth.
Ajíbáwo,One who awakens to find mysteries.
Adéfẹ́mi,The royal crown loves me
Àgàgú,Meaning unknown.
Abọ́ládé,One who arrives with wealth.
Arìnlóye,One who walks to receive honour.
Adérìnlóyè,"1. The crown walks to receive honour.
2. The crown walks into honour."
Arìnsóyè,One who walks into honour.
Akínrìnsóyè,Valor walks into honour.
Adérinsóyè,The crown walks into honour.
Adéríyè,"1. Royalty finds value.
2. We arrived to meet life."
Adétù,[Meaning unknown]
Àṣekún,"What is done in addition to another.
Full name: Àṣekúnlowó (money is only worth adding to, via hard work)."
